-20	-10	0	15	25	40	60	80		
0	2000								
3	3	10							
									
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10	10	10	10	15	15	15	20	20	20
10	10	10	10	15	15	15	20	20	20
10	10	10	10	15	15	15	20	20	20
44	44	44	44	44	44	44	44	44	44
44	44	44	44	44	44	44	44	44	44
44	44	44	44	44	44	44	44	44	44
35	47	56	35	47	56	35	47	56	35
35	47	56	35	47	56	35	47	56	35
35	47	56	35	47	56	35	47	56	35
									
									
									
									
0.0									
0.2									
									
35	37	39	41	43	45	47	49	51	53
40	42	44	46	48	50	52	54	56	58
45	47	49	51	53	55	57	59	61	63
100	105	110	115	120	125	130	135	140	145
100	105	110	115	120	125	130	135	140	145
100	105	110	115	120	125	130	135	140	145
									
250									
0	250								
