0	100								
0	200								
3	3	10	100	3					
									
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
30	30	35	35	40	40	45	45	50	50
30	30	35	35	40	40	45	45	50	50
30	30	35	35	40	40	45	45	50	50
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
100	110	121	133	133	146	161	177	177	195
95	105	105	105	116	116	128	128	141	155
97	97	97	107	107	118	130	143	157	157
									
0.0									
0.2									
									
30	31	31	31	31	31	31	31	31	31
30	31	32	33	34	35	36	37	38	39
35	37	39	41	43	45	47	49	51	53
40	45	50	55	60	65	70	75	80	85
50	50	50	50	50	50	50	50	50	50
100	100	100	100	100	100	100	100	100	100
									
250									
0	250								
0									
									
30	30	30	30	30	30	30	30	30	30
20	20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10	10
30	30	30	30	30	30	30	30	30	30
20	20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10	10
30	30	30	30	30	30	30	30	30	30
20	20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10	10
30	30	30	30	30	30	30	30	30	30
20	20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10	10
30	30	30	30	30	30	30	30	30	30
20	20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10	10
30	30	30	30	30	30	30	30	30	30
20	20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10	10
									
40	40	40	40	40	40	40	40	40	40
41	45	45	45	45	45	45	45	45	45
42	50	50	50	50	50	50	50	50	50
43	40	40	40	40	40	40	40	40	40
44	45	45	45	45	45	45	45	45	45
45	50	50	50	50	50	50	50	50	50
46	40	40	40	40	40	40	40	40	40
47	45	45	45	45	45	45	45	45	45
48	50	50	50	50	50	50	50	50	50
49	40	40	40	40	40	40	40	40	40
50	45	45	45	45	45	45	45	45	45
51	50	50	50	50	50	50	50	50	50
52	40	40	40	40	40	40	40	40	40
53	45	45	45	45	45	45	45	45	45
54	50	50	50	50	50	50	50	50	50
55	40	40	40	40	40	40	40	40	40
56	45	45	45	45	45	45	45	45	45
57	50	50	50	50	50	50	50	50	50
