-20	100		
0	200								
3	3	10	100						
									
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
30	30	35	35	40	40	45	45	50	50
30	30	35	35	40	40	45	45	50	50
30	30	35	35	40	40	45	45	50	50
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
100	110	121	133	146	146	161	161	177	195
95	105	116	116	116	128	141	141	155	171
97	107	107	107	118	118	130	130	130	143
									
0.0									
0.2									
									
30	31	31	31	31	31	31	31	31	31
30	31	32	33	34	35	36	37	38	39
35	37	39	41	43	45	47	49	51	53
40	45	50	55	60	65	70	75	80	85
50	50	50	50	50	50	50	50	50	50
100	100	100	100	100	100	100	100	100	100
									
0									
0	0								
0
