-20	-10	0	15	25	40	60	80		
0	200								
3	3	10	100						
									
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
80	85	90	95	100	105	110	115	120	125
80	85	90	95	100	105	110	115	120	125
80	85	90	95	100	105	110	115	120	125
-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20
-105	-75	-45	-15	15	45	75	105	135	165
-105	-75	-45	-15	15	45	75	105	135	165
-105	-75	-45	-15	15	45	75	105	135	165
									
0.0									
0.2									
									
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
40	45	50	55	60	65	70	75	80	85
50	50,5	51	51,5	52	52,5	53	53,5	54	54,5
50	50,5	51	51,5	52	52,5	53	53,5	54	54,5
									
0									
0	250								
